rc_pool,flags,rc_sorted,mem_pool,mem_sorted,pc_update
32769,9,32769,0,290341444919459839,0
32769,4,32769,27,1,7
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,290341444919459839,0
32769,1,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,4356,32769,28,1,53
32769,2178,32769,1226245742482522112,290341444919459839,0
32769,1089,32769,0,1,0
32769,544,32769,0,290341444919459839,0
32769,272,32769,54,1,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,290341444919459839,0
32769,68,32769,91,1,0
32769,34,32769,0,290341444919459839,0
32769,17,32769,53,1,50
32769,8,32769,50,290341444919459839,0
32769,4,32769,0,1,0
32769,2,32769,0,290341444919459839,0
32769,1,32769,29,1,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,290341444919459839,0
32769,0,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32765,519,32769,20,1,55
32769,259,32769,146226256843603965,290341444919459839,0
32769,129,32769,0,1,7
32769,64,32769,0,290341444919459839,0
32769,32,32769,54,1,120
32769,16,32769,30,290341444919459839,0
32769,8,32769,91,1,0
32769,4,32769,0,290341444919459839,0
32767,2,32769,52,1,55
32769,1,32769,7,290341444919459839,0
32769,0,32769,0,1,1
32769,0,32769,0,290341444919459839,0
32769,0,32769,21,1,3101573818856683897454848099795774376248377613141368599976936048116461731841
32769,0,32769,4,290341444919459839,0
32769,0,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18442,32769,24,1,55
32769,9221,32769,5191102242953854976,290341444919459839,0
32769,4610,32769,0,1,0
32769,2305,32769,0,290341444919459839,0
32764,1152,32769,54,1,150
32769,576,32769,30,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32767,72,32769,55,1,55
32769,36,32769,5,290341444919459839,0
32769,18,32769,0,1,0
32769,9,32769,0,290341444919459839,0
32769,4,32769,51,1,5
32769,2,32769,5,290341444919459839,0
32769,1,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18474,32769,25,1,56
32769,9237,32769,5200109442208333824,290341444919459839,0
32769,4618,32769,0,1,0
32769,2309,32769,0,290341444919459839,0
32764,1154,32769,50,1,15
32769,577,32769,3,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32763,72,32769,56,1,55
32769,36,32769,8,290341444919459839,0
32769,18,32769,0,1,0
32769,9,32769,0,290341444919459839,0
32769,4,32769,51,1,8
32769,2,32769,5,290341444919459839,0
32769,1,32769,91,1,0
