rc_cum_prod, mem_cum_prod
290088695096584833754502244171903267911272040912656260042047305994374306058,1831991272272152351810564933746427372907407833252845862465859864920316902430
2125729399030018830486371906252405262172559773909448871404341121753339264205,0
442736409257789531989630596064724174282150442711098384595005960000601632518,3277591735924426064748813949133289624243609091779717455650182566837858221442
1789907733321464798689853724627140111136796132092121222977408974276917560836,0
1411420828622838489275122795080230474431671826749127228895222957500655198159,2662624506487660665730690050766375183348205573000275883159626288141981296180
21308003115074914811735339129648077110349033490827679288303168869772684615,0
389824765350764564859324310644673936202650925865563620793656012915410129982,861796624453739564992382691412728902634967188339570648187469317258685055384
2318249351560765220563249251655249219035161203848859642467788021031239315306,0
2885931023563830791814103666053822940627446615241502820021410675302057289841,350354023410821834430675107443388184247997497270651893778066914420702190685
1441346045813493881547346797049941311354504144628539562996470749951121944764,0
2182148915661010885985732880869082380161607863955145561860589633219665997247,138389029186651713148326596788204709220320587101255123085840922083453890505
2124682848717668653695524139766073929706853057854941741303861932485489660503,0
1034599725416185909702774990293922152439007453552814889100302943701280150551,1706443739009622594790702807911090792007903661240012643466646704447202870733
1153471867372396770586551558035562277007093476865276252113559685154531608448,0
154003407395490480698335822245614691966887353266981358176998309545584665131,478721443861809389919795648804663250749812414268659738549130576521313444159
3098259561110472664432001730769400206566239365577663668678842139483250491438,0
3098259561110472664432001730769400206566239365577663668678842139483250491438,1739191141051008764527030108309676662072865002924836177847597210814471630765
2740447950314206957080765437395302298230446874790476508437452764191119931331,0
3193686684393259136355650078911192523267519870470156937936019756352033471893,2624280465804131829686768768975198877212876281656135712504684335168782506010
2370962497051518191407841112459188239038954866697973371273799628275524856076,0
3130258865837144475859474650380334694188541781784947954729805136176394569886,3342441439970633870472629630938534805374983227275844705761368874073476055519
209970614443587447857998947367197957413988376594341408471471891411384497575,0
2549290279398462941774135620985995760775386189621811902445947280664854970951,1225986844644914748303594267533396942545208983947885275925016999081282558159
2426482808242547377501146436637503662650466179873244523302472501666786390467,0
2767880495284955501438399780517157077284341884911741225373778963428859978312,3252948523629300685478110530728124975702694294847181421779020869176378206190
1250594589725816653475002956769251732675262176154898300722425571270950442018,0
339473177373319196466802109339576791574519658708693105685307331373590119554,3206465965833263748594345110476979869289908108337152925769092572977073605677
20366218332192265341746540786677587425270316761042483882375621566814983233,0
61110495229511221091216909299825215196354952481664083916903637277515125689,3564251655361393806826532561496904477317682752044542739607650495642460238711
1910337993509583043510369788013752542497100384173370808733223125923551656825,0
3588779902765610923649613708914072724378111335788167006894816260914832887334,17518807368797510047727693313927593775565595093170763694099531845793870470
1598052337892595939770962528625600282096005893979581415061325778007350696596,0
658305243667549091023697769187137338116180096147820160516280084262456904491,287854072192510580841408721169715245311840806107370180522779771587914781804
492060691379165198995933194900901608535373951007420053719145026992631053872,0
209630945663955383644860528480080608737661887261115829345415063536198622450,2356137071913561550185731787597077682634152869717636148032455428044467104443
2095284745419742853498510790116460045163682426685094818633290180712948746266,0
3282463795962186859626038155602499923385530908057992931330199671891950429798,2217081289858475401843977243924192585150265728625452547596965523520269122460
1752733153039270993575033132562060211414160726137378094334550194854967879796,0
1631662613832106231364357483362149320338389165028353884885100170783379626497,1229306343496741381534494421511341324461859146435918111370786167220886346244
1537971775502062779536476426320943753050923199737268978497834381879324721392,0
2379486512200007040442879183596951908827508294767567838058378326047656745651,1971402911648208595297405353739858309596510037353397891986608460402347723421
1389320726215409422352633934265645318315920527809150219415342292672947269321,0
3562145561929099414022263119587851110288997006411944755845522522789519574008,1208661128563553299914017417689443993455900777205856824093245629168289780871
2109689541716992794327985022100335964463148364765858444538656693082608455909,0
472834643429635187716831681301126090302431947554830635124084494508771799090,143574127139663469676011590352904574178093712559953625618959427336044343332
1696208493806082743189149250533455491880021579197338824495021618215862923762,0
1263068331908999132279818828265183233801717895153155914079755892471134046782,1611779524570510981441078987094597295216041911694317484963397255020523991837
1022024175128644599087876141809056792009651576468133878342946549279693965312,0
1022024175128644599087876141809056792009651576468133878342946549279693965312,311121477203234117886011715335211688086578197768287425854034360800998516202
2886399856269499724151408833933371916499341961281002894112876721466941511208,0
821774100821899688736098319106317824723132596517425337499898718533205640749,177729711050550476484701013241883163603998398343351856933325756207205620079
2303072311413098434861884466880331316740140621587275147879864148572893629060,0
3416208617525092790818792904653108537168376341086626103316702281945591176585,762509043169782804010061231950740088354869859480686451392813829521500288742
1162927539682581266178706741075799722272000125391514203406112133512477809119,0
2136706540188015881021978714031518205551282868135956010342447654260516446093,2361519826388206022892302721058017119541053053323603248349675104128945755451
9224982237326798290048171273766682345092705013174519559067495938604133711,0
3209334927068128857722963611169683119956071018484947478210317666918193617388,3069186629914815677349865991370359943807406489650984961220105750499183389733
2746808950258330404591404751104089867031894898231448798828831741421294033766,0
671072153692296619912683489191698292512198427248171958801302465659526823093,2807389601572188395467605978935062288595544439773222817097120588256106959916
1280450449292467910191201447089902149940664207856990865987803203356638556666,0
163679329522267853315277520106863544398704342606730120877805066932654702164,2568340546318425853004798429822612526381376422760952025880133539677691937479
3364069075619440199270151264427301457113632704706379304327408293821165642481,0
2322472898769623800810912242089275671135392157579806907275100801359383716240,1911722917907412592920702035622280265802177128264827950917131549050198381672
3087055926861195227889475387749159062330638978278444153325390966290292737653,0
3087055926861195227889475387749159062330638978278444153325390966290292737653,1117093240950524866766694293743292471800173810571564113223369654813487890609
1103211107074367927373265779545100041589330663516677257873043652559443987985,0
639974598230603153128100378302289665330647623677277691503978803839960160450,469865546927583516068731903315810463952758195824995327387107019550330661798
2248121047285877944151132022677372603678635920114922584663565581497519785914,0
1532055536984354050814979743557675288647412085547744600570444184541388326107,1720588129449050437540074277841591488717213707784713442812078224185102905276
3188831792172132865964831247963663262785707937059869963514362404321170373947,0
2769824980112122973062072144406832629842400693074977465281416688474673599209,2691997613812693514478949153305989593472911243205162951320623324880152276509
3143426758360006208890714886256242089196462807266138250241087988286949133359,0
632395891192081269886675737327191342078820084043208509504064532007984738209,1565574674657698299189381006512355434356481952585482157443680634038455934080
2449588625150690834413567959017208292830779260419367613794316883578523998986,0
2481359240721116441137517139740657750537738288609403655846876843038394459371,2002544008224781903756879980740025866704263472322407585826746855815589100790
648587363632685627300509120902187927738361107788530093465073870610867795397,0
1159297635907247156433925690693471240760898149267515408720049683938714273249,804834135272823658981340822303478101502858415891348064745964282688577520689
3267472520214127771971671399091101685907107086885789260302582485089431161655,0
101103756739325649405658370806654271402815612842885920926385625382273801616,1207743668305614698163877817244540126250645562867633718415592036095384708275
2002591334539926173567901574661103924600019431356937849355422639813521830422,0
692511673849450003920706818615590114718388094227503495565352835598109453105,2738065378371383491762591475226060357632571095573855917460586984153657305848
2845103001334343250622752792670510963863414826708886995130194705481015902779,0
3410550774847971567515935519679829604036866822671908450527574039656709764828,100939683737004866639651725282267363957593494850477936179265103459347536514
73101727052028534525505330834417573008436785836550450969477018095512739119,0
2791806211291105721381070593394885992920804035824457377641016565205087108979,1414981105837031502980623631488343523298279936143652898432922305577452246627
916617526134583464917256496585943044445948698593496633003106710012705405908,0
2583264992862304095596950304693550846472318319152718051703217998966437084627,1067282952413730257484376761853513608962087491041928796074856102512708559084
2301083520217209415093237182728749592777025825357025261542987675245955042233,0
3163054100790461361731670645540303359638104406975480561235443334064662080197,1624540586776158105011192023986211125438238787574105030061143043644042168345
1211998873150958686436133498242231752762031218739853942974454680989939813403,0
2873204798611940574242941505281146698892911012893784719335745376597568818558,1754501972669497333988752143663393484926133197795512605135637704323955138038
1902162452309121353418401820295279615294706435843994849623269356433397254742,0
2493006937642303241194900673068587708042742908589684925335562720593768031125,3255600181903104569091470114483844537257834102278900426328629655968480470187
2874161517488113854388154463007352195479886984951377363803176998790321325528,0
616745097495823875270744563329175562362336506687528250164263423484699073983,1453952981481898435913635144283853184909489671996857366437379190738043145432
3340443902105828398215559502677262446170379843773486775547325958264869683806,0
2423687825877508125592619647227853354807020818231281103875567939974395710904,2493314862452582672545385665847913537380337826832693341760226242570324551058
2551670494485957119046379020723902058058956989332660035577096819820419702101,0
1065179498621909262313558641808908094287659241656097295971645994770921918308,260659395105612413104116917471098621218626751016349998018878995363450875962
1548777892164455008044069545485874793976433221027300956185463765777541805965,0
1117253705962031658794934299132709827357556117277189156951179762663875261610,322032639996543712875258490328296060697329446670548017831020843643789590303
384352732239517063220636293668013316964124752643119255274515074779663433426,0
472833570478059311635500504207477353428354764701440438135209968102846756461,2073837477455665386801929967803916807752734234057381523002203008521311959116
3543421316016638076197869288407727500626414332546441505397790663974458847819,0
3379626217475223973622771038339015581614787485387312491195543941009349759574,2894327516614283324741038734229924391096295301217875035678142872150948820078
2812106100834461494183167969697905270234768015330186762456014036115219444375,0
1079293262404210365765648840568893689716450072343102981694685523123054009606,566212273418475557352182545096999005545798709534278952034855348426668043930
3336785694996466011337346420219034178220420643754478372305909168489211949242,0
1568710823330258456801151683574551641788193131416177051339954101557488688967,2922573035939093205324831538290850537348889626341388957852256646895516860870
1791245902402509575247223422585434114394972624081014760674059493135092600793,0
2343860171046861544390231521539332784984922679193429459688701319272484195212,1217754615660815694297922139345144352703642186096936488288752590286476977252
1059588964064878711437816877785680938093534399199730962196104926657640636367,0
3040341530047331231104087776441675383436958654972836903057366235029916598812,660478192901024638692290559932478155483943786438594910270626619996299434971
2910795964118981279364472459545600077003716660433717647486759851873940696956,0
